time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2023-01-01,1204.09,1190.52,1195.0,177271.0,212091101.2,1200.1,direct,
2023-01-02,1222.25,1192.5,1200.1,327216.37,396971135.51,1213.98,direct,
2023-01-03,1219.35,1205.08,1213.98,323873.94,392700511.47,1214.11,direct,
2023-01-04,1267.02,1212.42,1214.11,660554.73,825157843.82,1256.42,direct,
2023-01-05,1259.03,1242.51,1256.42,395462.48,494598797.89,1250.73,direct,
2023-01-06,1275.0,1236.5,1250.73,531468.47,667398617.34,1268.71,direct,
2023-01-07,1270.34,1261.21,1268.71,183266.85,231711574.14,1263.86,direct,
2023-01-08,1292.01,1258.59,1263.86,308927.99,392241837.02,1288.62,direct,
2023-01-09,1344.17,1285.01,1288.62,775693.69,1022290294.83,1320.11,direct,
2023-01-10,1346.45,1316.81,1320.11,512653.94,682508755.42,1335.42,direct,
2023-01-11,1393.42,1320.84,1335.42,558764.18,750208058.14,1388.95,direct,
2023-01-12,1436.9,1367.5,1388.95,836206.52,1173416087.03,1416.05,direct,
2023-01-13,1464.27,1401.0,1416.05,582315.27,827418332.41,1451.18,direct,
2023-01-14,1600.82,1449.52,1451.18,651867.35,1000747558.84,1550.07,direct,
2023-01-15,1566.18,1516.95,1550.07,393482.3,605354595.73,1552.71,direct,
2023-01-16,1601.54,1522.89,1552.71,546773.59,854808666.21,1577.02,direct,
2023-01-17,1606.64,1542.73,1577.02,445523.36,701015677.04,1565.15,direct,
2023-01-18,1610.01,1502.35,1565.15,761780.77,1186461141.36,1512.28,direct,
2023-01-19,1562.61,1509.86,1512.28,489405.87,750596721.84,1551.2,direct,
2023-01-20,1662.05,1542.76,1551.2,661985.34,1052523938.77,1659.02,direct,
2023-01-21,1678.11,1622.68,1659.02,551440.33,911165415.27,1626.68,direct,
2023-01-22,1661.85,1608.38,1626.68,482545.84,787251000.78,1627.79,direct,
2023-01-23,1646.52,1592.78,1627.79,536187.38,872732022.61,1626.47,direct,
2023-01-24,1641.25,1537.38,1626.47,567029.94,911498894.01,1556.12,direct,
2023-01-25,1638.48,1519.26,1556.12,724158.23,1132268819.24,1610.94,direct,
2023-01-26,1632.15,1579.46,1610.94,491078.21,789028231.13,1601.35,direct,
2023-01-27,1621.71,1553.36,1601.35,493189.56,781935987.02,1597.86,direct,
2023-01-28,1606.66,1558.63,1597.86,275543.16,436021436.43,1572.46,direct,
2023-01-29,1658.36,1566.99,1572.46,502089.89,812096302.45,1645.46,direct,
2023-01-30,1647.19,1539.51,1645.46,577546.2,917935732.64,1566.49,direct,
2023-01-31,1603.98,1561.82,1566.49,436991.03,690489010.7,1585.47,direct,
2023-02-01,1647.46,1558.29,1585.47,499248.21,797147606.94,1641.61,direct,
2023-02-02,1711.99,1630.57,1641.61,585655.08,980080354.31,1642.74,direct,
2023-02-03,1675.35,1628.58,1642.74,426503.46,704445423.97,1663.97,direct,
2023-02-04,1694.8,1646.23,1663.97,247213.27,412803098.7,1666.89,direct,
2023-02-05,1673.2,1611.8,1666.89,277758.07,456219066.62,1629.8,direct,
2023-02-06,1657.56,1607.64,1629.8,303435.45,495673231.02,1614.31,direct,
2023-02-07,1677.31,1613.44,1614.31,387245.7,637931660.04,1671.61,direct,
2023-02-08,1697.58,1631.15,1671.61,388811.42,646763538.23,1650.95,direct,
2023-02-09,1655.68,1527.63,1650.95,542952.15,867896690.84,1545.78,direct,
2023-02-10,1554.37,1496.52,1545.78,493802.96,756041189.81,1513.79,direct,
2023-02-11,1542.93,1508.54,1513.79,171058.2,260403379.72,1538.79,direct,
2023-02-12,1547.62,1495.57,1538.79,228435.36,349138047.41,1515.42,direct,
2023-02-13,1525.82,1464.59,1515.42,536302.59,800954432.79,1506.37,direct,
2023-02-14,1567.02,1494.06,1506.37,449350.95,687412621.55,1556.14,direct,
2023-02-15,1678.37,1543.35,1556.14,479383.43,772032249.88,1675.34,direct,
2023-02-16,1741.06,1634.58,1675.34,609138.06,1030465375.37,1638.41,direct,
2023-02-17,1721.57,1632.29,1638.41,449742.27,754132750.16,1694.3,direct,
2023-02-18,1710.86,1681.41,1694.3,181450.94,307506654.43,1691.98,direct,
2023-02-19,1725.04,1668.29,1691.98,299100.82,507142415.32,1681.25,direct,
2023-02-20,1719.4,1652.65,1681.25,299670.15,508356423.43,1703.53,direct,
2023-02-21,1716.4,1637.57,1703.53,393619.14,659946431.8,1659.64,direct,
2023-02-22,1665.93,1598.66,1659.64,519119.41,846194678.13,1643.28,direct,
2023-02-23,1678.49,1630.04,1643.28,422628.5,699286522.36,1650.59,direct,
2023-02-24,1664.27,1577.26,1650.59,493843.99,799273822.59,1607.86,direct,
2023-02-25,1609.27,1560.74,1608.09,221100.6,351919078.03,1594.89,direct,
2023-02-26,1649.95,1589.21,1594.89,227978.9,368915540.44,1641.93,direct,
2023-02-27,1665.57,1609.81,1641.93,365130.15,598217352.12,1633.97,direct,
2023-02-28,1647.17,1598.53,1633.97,280695.02,456947652.79,1605.0,direct,
2023-03-01,1669.19,1597.38,1605.0,350132.16,576615214.76,1665.45,direct,
2023-03-02,1677.33,1620.13,1665.45,335968.63,551440002.57,1647.79,direct,
2023-03-03,1649.2,1548.32,1647.79,470563.21,739448646.09,1569.58,direct,
2023-03-04,1577.04,1550.25,1569.58,112487.53,176234475.2,1566.93,direct,
2023-03-05,1587.47,1555.29,1566.93,176811.23,277592151.28,1564.76,direct,
2023-03-06,1581.84,1555.59,1564.76,245424.7,384556985.72,1565.91,direct,
2023-03-07,1581.82,1536.95,1565.91,346054.22,539524295.29,1561.65,direct,
2023-03-08,1570.28,1526.74,1561.65,343217.11,533070618.78,1532.44,direct,
2023-03-09,1545.42,1410.99,1532.44,575922.85,859197707.07,1437.54,direct,
