time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2023-01-01,16619.82,16502.85,16531.31,20256.16,335220861.58,16613.87,direct,
2023-01-02,16768.07,16544.15,16613.87,30159.75,503360386.62,16670.08,direct,
2023-01-03,16766.7,16605.01,16670.08,37684.59,628582193.83,16670.16,direct,
2023-01-04,16972.62,16651.02,16670.16,58841.99,990689260.54,16846.82,direct,
2023-01-05,16869.84,16764.64,16846.82,31174.48,524511536.58,16825.87,direct,
2023-01-06,17013.77,16687.42,16825.87,52488.7,883642131.54,16946.16,direct,
2023-01-07,16972.62,16905.39,16946.16,11628.45,196915427.54,16942.73,direct,
2023-01-08,17132.21,16913.28,16942.73,21159.6,359149910.85,17115.81,direct,
2023-01-09,17387.59,17103.2,17115.81,73779.59,1271943559.93,17179.03,direct,
2023-01-10,17484.36,17148.57,17179.03,57628.21,997764944.91,17442.44,direct,
2023-01-11,17986.45,17324.71,17442.44,63571.7,1113334370.52,17938.0,direct,
2023-01-12,19092.31,17906.4,17938.0,122644.76,2252897545.61,18849.0,direct,
2023-01-13,19992.23,18717.45,18849.0,94611.39,1820146569.6,19932.05,direct,
2023-01-14,21255.15,19895.77,19932.05,107073.42,2223938908.13,20954.52,direct,
2023-01-15,21047.91,20575.44,20954.52,44461.09,924310249.74,20878.94,direct,
2023-01-16,21438.83,20635.89,20878.94,66430.52,1399257790.94,21188.92,direct,
2023-01-17,21555.18,20866.41,21188.92,55706.36,1181967488.8,21136.12,direct,
2023-01-18,21624.6,20411.68,21136.12,82422.66,1733563128.99,20678.47,direct,
2023-01-19,21180.98,20670.44,20678.47,54649.2,1141134569.38,21082.28,direct,
2023-01-20,22724.89,20884.26,21082.28,82923.31,1793127005.71,22676.2,direct,
2023-01-21,23327.14,22465.82,22676.2,96424.84,2212422402.47,22789.92,direct,
2023-01-22,23072.22,22343.13,22789.92,62351.77,1419749432.93,22714.99,direct,
2023-01-23,23154.59,22585.74,22714.99,70990.57,1622068993.43,22917.47,direct,
2023-01-24,23159.62,22485.0,22917.47,78065.25,1788469593.53,22637.8,direct,
2023-01-25,23801.04,22354.6,22637.8,88106.3,2010835832.21,23066.28,direct,
2023-01-26,23268.02,22870.4,23066.28,64065.53,1477492373.79,23009.15,direct,
2023-01-27,23485.53,22594.06,23009.15,65135.66,1499524205.45,23077.75,direct,
2023-01-28,23181.57,22895.7,23077.75,20229.78,465656885.65,23031.02,direct,
2023-01-29,23948.42,22981.04,23031.02,57693.1,1356557545.16,23747.26,direct,
2023-01-30,23796.62,22577.01,23747.26,73408.97,1699735992.01,22833.34,direct,
2023-01-31,23271.14,22725.41,22833.34,49746.31,1144361734.86,23129.7,direct,
2023-02-01,23799.9,22792.33,23129.7,50174.15,1166002955.1,23730.52,direct,
2023-02-02,24229.18,23423.04,23730.52,57852.6,1378661476.28,23470.8,direct,
2023-02-03,23709.93,23230.74,23470.8,40956.08,961229252.16,23437.21,direct,
2023-02-04,23582.26,23268.8,23437.21,14312.36,334962158.54,23332.1,direct,
2023-02-05,23429.68,22796.98,23332.1,27262.45,628865943.88,22940.79,direct,
2023-02-06,23147.93,22655.5,22940.79,40112.72,918256802.27,22761.44,direct,
2023-02-07,23343.29,22752.6,22761.44,37031.49,852489794.18,23252.78,direct,
2023-02-08,23407.79,22688.45,23252.78,32423.41,746102368.06,22961.13,direct,
2023-02-09,23000.67,21741.16,22961.13,72685.0,1626493846.29,21807.55,direct,
2023-02-10,21940.0,21495.4,21807.55,52389.7,1139170302.72,21634.86,direct,
2023-02-11,21897.19,21611.54,21634.86,17100.45,371394433.41,21862.19,direct,
2023-02-12,22081.41,21659.69,21862.19,27490.57,601407332.2,21790.14,direct,
2023-02-13,21895.37,21407.31,21790.14,58725.99,1271661452.37,21787.77,direct,
2023-02-14,22308.02,21587.95,21787.77,51049.58,1121665134.71,22208.56,direct,
2023-02-15,24338.52,22059.91,22208.56,70450.63,1636571319.77,24332.21,direct,
2023-02-16,25233.22,23522.57,24332.21,89399.75,2195432803.47,23533.22,direct,
2023-02-17,25012.32,23368.98,23533.22,83842.0,2024871806.46,24578.28,direct,
2023-02-18,24854.76,24454.5,24578.28,22334.7,550069111.96,24638.27,direct,
2023-02-19,25175.28,24253.13,24638.27,43529.32,1073608902.53,24287.53,direct,
2023-02-20,25098.8,23873.19,24287.53,54396.11,1341924666.63,24838.09,direct,
2023-02-21,25216.35,24168.6,24838.09,68937.6,1699888067.11,24450.5,direct,
2023-02-22,24471.79,23597.76,24450.5,71228.71,1707889533.14,24186.92,direct,
2023-02-23,24595.08,23629.29,24186.92,67725.34,1630064365.85,23941.1,direct,
2023-02-24,24125.33,22830.91,23941.1,68652.11,1610829236.2,23189.78,direct,
2023-02-25,23218.2,22809.19,23190.14,24727.95,569329617.92,23168.68,direct,
2023-02-26,23671.2,23068.22,23168.68,27073.82,632282012.46,23557.29,direct,
2023-02-27,23884.1,23148.47,23557.29,45081.05,1057863335.56,23492.86,direct,
2023-02-28,23595.27,23038.65,23492.86,34862.93,814380395.42,23137.23,direct,
2023-03-01,23980.02,23036.22,23137.23,45323.52,1070132297.9,23642.8,direct,
2023-03-02,23794.81,23210.39,23642.8,34727.29,813452928.16,23467.23,direct,
2023-03-03,23477.22,22134.9,23467.23,59283.75,1328714697.97,22360.92,direct,
2023-03-04,22410.68,22177.19,22360.92,11840.22,264342272.32,22353.23,direct,
2023-03-05,22638.92,22243.05,22353.23,20875.88,468467084.05,22434.09,direct,
2023-03-06,22595.33,22311.67,22434.09,27089.91,607585243.32,22410.79,direct,
2023-03-07,22540.85,21951.39,22410.79,38893.98,865083425.31,22201.44,direct,
2023-03-08,22262.91,21628.01,22201.44,41232.56,907354581.02,21704.74,direct,
2023-03-09,21822.92,20113.96,21704.74,75232.11,1584851678.8,20370.48,direct,
2023-03-10,20371.25,19599.47,20370.48,105350.02,2103890132.26,20206.71,direct,
2023-03-11,20847.88,19895.33,20206.71,69435.51,1416403424.21,20613.6,direct,
2023-03-12,22224.01,20445.19,20613.6,63957.66,1352204877.06,22183.71,direct,
2023-03-13,24596.0,21896.85,22183.71,94501.71,2198916015.73,24207.1,direct,
2023-03-14,26522.41,24071.83,24207.1,110643.58,2783419006.43,24757.56,direct,
2023-03-15,25272.47,23946.02,24757.56,74114.24,1826358018.09,24372.11,direct,
2023-03-16,25211.23,24220.45,24372.11,55408.3,1372954004.0,25049.83,direct,
2023-03-17,27782.88,24945.9,25049.83,96426.82,2554985216.53,27441.41,direct,
2023-03-18,27749.91,26655.22,27441.41,48843.14,1335463761.57,26973.46,direct,
2023-03-19,28441.41,26901.66,26973.46,48163.58,1337898482.67,28040.29,direct,
2023-03-20,28539.63,27228.03,28040.29,65834.79,1838684361.11,27807.05,direct,
2023-03-21,28494.87,27416.8,27807.05,45696.4,1282225223.57,28188.11,direct,
2023-03-22,28902.98,26676.69,28188.11,81267.64,2277940781.79,27316.18,direct,
2023-03-23,28807.82,27190.13,27316.18,63194.55,1769187941.89,28345.7,direct,
2023-03-24,28421.94,27054.76,28345.7,52231.16,1456957038.0,27493.01,direct,
2023-03-25,27819.55,27186.95,27493.01,22474.29,618098148.62,27492.83,direct,
2023-03-26,28217.66,27448.83,27492.83,26394.91,734596186.26,27995.16,direct,
2023-03-27,28045.33,26551.46,27995.16,45933.42,1256153698.38,27146.01,direct,
2023-03-28,27527.5,26638.39,27146.01,36875.77,997573892.51,27266.08,direct,
2023-03-29,28643.21,27254.72,27266.08,49571.43,1396887121.69,28355.7,direct,
2023-03-30,29171.13,27735.19,28355.7,58696.25,1666973949.92,28040.71,direct,
2023-03-31,28651.82,27552.64,28040.71,45335.87,1278854661.75,28474.62,direct,
2023-04-01,28816.74,28263.72,28474.62,15689.96,446928904.2,28468.49,direct,
2023-04-02,28537.18,27885.3,28468.49,16366.29,461356032.51,28187.85,direct,
2023-04-03,28498.51,27292.3,28187.85,47462.93,1328993515.18,27809.04,direct,
2023-04-04,28441.54,27671.89,27809.04,32404.02,911124090.2,28177.23,direct,
2023-04-05,28766.02,27843.06,28177.23,37846.93,1072312476.98,28180.06,direct,
2023-04-06,28191.21,27736.36,28180.06,26094.3,730428566.02,28043.49,direct,
2023-04-07,28110.82,27786.82,28043.49,14575.83,407205241.71,27927.8,direct,
2023-04-08,28168.77,27879.51,27927.8,9261.95,259437156.74,27953.93,direct,
