,accuracy,precision,recall,f1,train_time,inference_time
Decision Tree,0.5116279069767442,0.522697795071336,0.5380507343124166,0.5302631578947369,0.015816926956176758,0.0005030632019042969
Random Forest,0.5054719562243503,0.5191176470588236,0.4712950600801068,0.4940517844646606,0.33792614936828613,0.02624988555908203
XGBoost,0.4993160054719562,0.515426497277677,0.37917222963951935,0.4369230769230769,0.4066500663757324,0.0014138221740722656
